"","date","group","amount","salary_change"
"314",2011-02-28,"Core Training",2693.8,0.94015460653275
"315",2011-03-31,"Core Training",2701.62,1.23318007576694
"316",2011-04-30,"Core Training",2685.78,0.63963487977338
"317",2011-05-31,"Core Training",2704.39,1.33697554249056
"318",2011-06-30,"Core Training",2705.11,1.36395486958119
"319",2011-07-31,"Core Training",2704.05,1.32423530469778
"320",2011-08-31,"Core Training",2625.05,-1.6359964177449
"321",2011-09-30,"Core Training",2688.02,0.723570564055291
"322",2011-10-31,"Core Training",2686.18,0.654623394823709
"323",2011-11-30,"Core Training",2696.16,1.02858684532976
"324",2011-12-31,"Core Training",2683.63,0.559071611377784
"325",2012-01-31,"Core Training",2694.97,0.983996013054988
"326",2012-02-29,"Core Training",2692.45,0.88956836823783
"327",2012-03-31,"Core Training",2693.87,0.942777596666549
"328",2012-04-30,"Core Training",2684.38,0.587175077097177
"329",2012-05-31,"Core Training",2697.01,1.06043743981175
"330",2012-06-30,"Core Training",2696.67,1.04769720201895
"331",2012-07-31,"Core Training",2697.58,1.08179607375848
"332",2012-08-31,"Core Training",2674.59,0.220331171240041
"333",2012-09-30,"Core Training",2689.9,0.794016584791905
"334",2012-10-31,"Core Training",2690.64,0.821745337635031
"335",2012-11-30,"Core Training",2695.05,0.986993716065071
"336",2012-12-31,"Core Training",2685.75,0.638510741144597
"337",2013-01-31,"Core Training",2693.02,0.910927002184574
"338",2013-02-28,"Core Training",2648.94,-0.740807356363186
"339",2013-03-31,"Core Training",2686.71,0.67448317726542
"340",2013-04-30,"Core Training",2681.53,0.480381907363489
"341",2013-05-31,"Core Training",2743.24,2.79273506675509
"342",2013-06-30,"Core Training",2716.79,1.80161950905119
"343",2013-07-31,"Core Training",2717.6,1.83197125202813
"344",2013-08-31,"Core Training",2554.95,-4.26273368031746
"345",2013-09-30,"Core Training",2714.63,1.72068152777934
"346",2013-10-31,"Core Training",2718.4,1.86194828212882
"347",2013-11-30,"Core Training",2720.01,1.92227705520645
"348",2013-12-31,"Core Training",2712.39,1.63674584349741
"349",2014-01-31,"Core Training",2720.87,1.95450236256468
"350",2014-02-28,"Core Training",2690.66,0.822494763387547
"351",2014-03-31,"Core Training",2718.11,1.85108160871732
"352",2014-04-30,"Core Training",2715.62,1.75777810252893
"353",2014-05-31,"Core Training",2718.48,1.86494598513889
"354",2014-06-30,"Core Training",2720.48,1.9398885603906
"355",2014-07-31,"Core Training",2721.54,1.97960812527401
"356",2014-08-31,"Core Training",2577.92,-3.40201820355153
"357",2014-09-30,"Core Training",2709.26,1.5194607132285
"358",2014-10-31,"Core Training",2718.28,1.85745172761372
"359",2014-11-30,"Core Training",2719.88,1.91740578781509
"360",2014-12-31,"Core Training",2713.14,1.66484930921681
"361",2015-01-31,"Core Training",2718.01,1.84733447995474
"362",2015-02-28,"Core Training",2698.52,1.11701908412679
"363",2015-03-31,"Core Training",2716.46,1.78925398413466
"364",2015-04-30,"Core Training",2718.72,1.87393909416908
"365",2015-05-31,"Core Training",2718.64,1.87094139115902
"366",2015-06-30,"Core Training",2720.35,1.93501729299923
"367",2015-07-31,"Core Training",2720.42,1.93764028313305
"368",2015-08-31,"Core Training",2603.14,-2.45699232962743
"369",2015-09-30,"Core Training",2706.97,1.43365146456527
"370",2015-10-31,"Core Training",2714.66,1.72180566640811
"371",2015-11-30,"Core Training",2723.25,2.04368402711422
"372",2015-12-31,"Core Training",2720.45,1.93876442176182
"373",2016-01-31,"Core Training",2735.61,2.50682914216982
"374",2016-02-29,"Core Training",2700.01,1.17285130268932
"375",2016-03-31,"Core Training",2711.11,1.58878259533633
"376",2016-04-30,"Core Training",2679.88,0.418554282780822
"377",2016-05-31,"Core Training",2715.8,1.7645229343016
"378",2016-06-30,"Core Training",2751.42,3.09925019953461
"379",2016-07-31,"Core Training",2766.45,3.66244365255122
"380",2016-08-31,"Core Training",2694.23,0.956267260211862
"381",2016-09-30,"Core Training",2771.01,3.83331272412515
"382",2016-10-31,"Core Training",2773.23,3.91649898265454
"383",2016-11-30,"Core Training",2775.97,4.01917031074938
"384",2016-12-31,"Core Training",2761.03,3.4593492736191
"385",2017-01-31,"Core Training",2766.95,3.68117929636415
"386",2017-02-28,"Core Training",2821.41,5.72186562046831
"387",2017-03-31,"Core Training",2844.36,6.58183167148173
"388",2017-04-30,"Core Training",2826.6,5.91634160324651
"389",2017-05-31,"Core Training",2902.45,8.75853876966773
"390",2017-06-30,"Core Training",2878.76,7.8708439658112
"391",2017-07-31,"Core Training",2873.63,7.67861626029056
"392",2017-08-31,"Core Training",2964.39,11.0795103252133
