"","date","group","amount","salary_change","cpih","cpih_change","diff","cumulative_income_lost","cpih_matched_salary"
"212",2014-12-31,"Specialty Registrar",3255.73,2.88877231127066,11.6,0,-8.71122768872934,11665.9734408829,3552.42674308275
"213",2015-01-31,"Specialty Registrar",3259.9,3.02055417909693,10.9,-0.700000000000003,-7.87944582090308,11956.1572658902,3527.55975588117
"214",2015-02-28,"Specialty Registrar",3223.68,1.87591646862516,11.2,0.299999999999997,-9.32408353137484,12299.5441341193,3538.14243514881
"215",2015-03-31,"Specialty Registrar",3266.66,3.23418617586084,11.3,0.0999999999999943,-8.06581382413916,12596.5915103543,3541.68057758396
"216",2015-04-30,"Specialty Registrar",3264.8,3.17540577438439,11.6,0.300000000000011,-8.42459422561562,12906.8520327425,3552.30561931671
"217",2015-05-31,"Specialty Registrar",3268.49,3.29201850634574,11.8,0.199999999999989,-8.50798149365425,13220.1835371448,3559.41023055535
"218",2015-06-30,"Specialty Registrar",3266.78,3.23797845982707,11.8,0,-8.56202154017292,13535.5052255978,3559.41023055535
"219",2015-07-31,"Specialty Registrar",3263.64,3.13874702937755,11.7,-0.0999999999999943,-8.56125297062245,13850.7986092111,3555.85082032479
"220",2015-08-31,"Specialty Registrar",3127.96,-1.14906204176569,12,0.299999999999997,-13.1490620417657,14335.0515890862,3566.51837278577
"221",2015-09-30,"Specialty Registrar",3259.62,3.01170551650907,11.9,-0.0999999999999943,-8.88829448349094,14662.3892406972,3562.95185441298
"222",2015-10-31,"Specialty Registrar",3254.18,2.83978864337361,12,0.0999999999999943,-9.16021135662639,14999.7410329119,3566.51480626739
"223",2015-11-30,"Specialty Registrar",3290.39,3.98411033018151,12,0,-8.01588966981848,15294.949804962,3566.51480626739
"224",2015-12-31,"Specialty Registrar",3273.56,3.45224250391869,12.1,0.100000000000009,-8.64775749608132,15613.428972785,3570.08132107366
"225",2016-01-31,"Specialty Registrar",3274.94,3.49585376953026,11.6,-0.5,-8.10414623046975,15911.8880529068,3552.23091446829
"226",2016-02-29,"Specialty Registrar",3226.2,1.95555443191585,11.8,0.199999999999989,-9.84444556808415,16274.4387874322,3559.33537629723
"227",2016-03-31,"Specialty Registrar",3244.81,2.54367447034433,12.1,0.300000000000011,-9.55632552965568,16626.3786520168,3570.01338242612
"228",2016-04-30,"Specialty Registrar",3216.83,1.65944025888658,12.3,0.199999999999989,-10.6405597411134,17018.2486383175,3577.15340919097
"229",2016-05-31,"Specialty Registrar",3266.59,3.23197401021388,12.5,0.200000000000003,-9.26802598978612,17359.5710222912,3584.30771600935
"230",2016-06-30,"Specialty Registrar",3296.88,4.18920968802144,12.7,0.200000000000003,-8.51079031197857,17673.0059697101,3591.47633144137
"231",2016-07-31,"Specialty Registrar",3304.08,4.41674672599483,12.6,-0.0999999999999943,-8.18325327400517,17974.3783999582,3587.88485510993
"232",2016-08-31,"Specialty Registrar",3232.25,2.14674874854629,12.9,0.299999999999997,-10.7532512514537,18370.3985833996,3598.64850967526
"233",2016-09-30,"Specialty Registrar",3313.31,4.70843656773018,13.2,0.299999999999997,-8.49156343226982,18683.1254442825,3609.44445520429
"234",2016-10-31,"Specialty Registrar",3313.52,4.71507306467108,13.3,0.0999999999999943,-8.58492693532892,18999.290691449,3613.05389965949
"235",2016-11-30,"Specialty Registrar",3338.67,5.50987257925873,13.5,0.200000000000003,-7.99012742074127,19293.5506927165,3620.28000745881
"236",2016-12-31,"Specialty Registrar",3317.26,4.83326591495171,13.9,0.400000000000006,-9.06673408504829,19627.4599087864,3634.76112748865
"237",2017-01-31,"Specialty Registrar",3319.47,4.90310714466298,13.5,-0.400000000000006,-8.59689285533702,19944.0658362389,3620.22208297869
"238",2017-02-28,"Specialty Registrar",3321.94,4.98116498963442,14.1,0.600000000000009,-9.11883501036559,20279.8938225039,3641.94341547656
"239",2017-03-31,"Specialty Registrar",3325.34,5.08861303534409,14.4,0.299999999999997,-9.31138696465592,20622.8131022276,3652.86924572299
"240",2017-04-30,"Specialty Registrar",3323.13,5.0187718056328,14.9,0.5,-9.8812281943672,20986.7184654201,3671.13359195161
"241",2017-05-31,"Specialty Registrar",3409.89,7.76059311321231,15.2,0.299999999999997,-7.43940688678769,21260.6965592178,3682.14699272746
"242",2017-06-30,"Specialty Registrar",3369.23,6.47564089599029,15.2,0,-8.72435910400972,21581.9968071136,3682.14699272746
"243",2017-07-31,"Specialty Registrar",3367.5,6.4209688021439,15.2,0,-8.7790311978561,21905.3105160668,3682.14699272746
"244",2017-08-31,"Specialty Registrar",3403.28,7.55170147140618,15.7,0.5,-8.14829852859382,22205.3956347506,3700.5577276911
"245",2017-09-30,"Specialty Registrar",3485.04,10.1355109470597,16,0.299999999999997,-5.86448905294029,22421.3727356503,3711.65940087417
"246",2017-10-31,"Specialty Registrar",3501.93,10.6692749153056,16.1,0.100000000000009,-5.43072508469436,22621.3751994605,3715.37106027505
"247",2017-11-30,"Specialty Registrar",3530.03,11.5573014107296,16.4,0.299999999999997,-4.84269858927037,22799.7218537726,3726.51717345587
"248",2017-12-31,"Specialty Registrar",3515.88,11.1101279263791,16.7,0.299999999999997,-5.58987207362088,23005.5853746971,3737.69672497624
"249",2018-01-31,"Specialty Registrar",3489.03,10.2616043889366,16.2,-0.5,-5.93839561106336,23224.2843025142,3719.00824135136
"250",2018-02-28,"Specialty Registrar",3441.34,8.7544875360267,16.6,0.400000000000006,-7.84551246397331,23513.2184315995,3733.88427431676
"251",2018-03-31,"Specialty Registrar",3519.72,11.2314810132983,16.8,0.199999999999989,-5.56851898670173,23718.2955621383,3741.3520428654
"252",2018-04-30,"Specialty Registrar",3522.86,11.3307124437478,17.2,0.400000000000006,-5.86928755625222,23934.449382071,3756.31745103686
"253",2018-05-31,"Specialty Registrar",3529.06,11.526647115336,17.6,0.400000000000006,-6.07335288466402,24158.1185094118,3771.34272084101
"254",2018-06-30,"Specialty Registrar",3524.78,11.3913889872074,17.6,0,-6.20861101279265,24386.7689161313,3771.34272084101
"255",2018-07-31,"Specialty Registrar",3517.83,11.1717525408302,17.6,0,-6.42824745916976,24623.5080825898,3771.34272084101
"256",2018-08-31,"Specialty Registrar",3549.54,12.1738635789048,18.2,0.599999999999994,-6.02613642109522,24845.4383244413,3793.97077716605
"257",2018-09-30,"Specialty Registrar",3573.87,12.9427491530566,18.3,0.0999999999999943,-5.35725084694343,25042.7348828065,3797.76474794322
"258",2018-10-31,"Specialty Registrar",3646.16,15.2272842190423,18.4,0.100000000000009,-3.17271578095769,25159.5794962356,3801.56251269116
"259",2018-11-30,"Specialty Registrar",3650.62,15.3682307731203,18.6,0.200000000000003,-3.23176922687973,25278.5989269307,3809.16563771654
"260",2018-12-31,"Specialty Registrar",3644.7,15.1811447641199,18.8,0.199999999999989,-3.61885523588007,25411.8739412355,3816.78396899198
"261",2019-01-31,"Specialty Registrar",3640.03,15.0335617131011,18.1,-0.699999999999989,-3.06643828689893,25524.8045725853,3790.06648120903
"262",2019-02-28,"Specialty Registrar",3600.24,13.7761035546342,18.5,0.399999999999991,-4.72389644536584,25698.7759876584,3805.22674713387
"263",2019-03-31,"Specialty Registrar",3641.49,15.0797011680234,18.7,0.200000000000003,-3.62029883197655,25832.104166646,3812.83720062814
"264",2019-04-30,"Specialty Registrar",3639.93,15.0304014764625,19.3,0.599999999999994,-4.26959852353745,25989.3447212442,3835.71422383191
"265",2019-05-31,"Specialty Registrar",3642.64,15.1160438893664,19.6,0.300000000000011,-4.48395611063358,26154.4796260235,3847.2213665034
"266",2019-06-30,"Specialty Registrar",3638.21,14.97604540628,19.6,0,-4.62395459371999,26324.7703877298,3847.2213665034
"267",2019-07-31,"Specialty Registrar",3636.94,14.9359104009708,19.7,0.0999999999999943,-4.76408959902918,26500.2220341966,3851.06858786991
"268",2019-08-31,"Specialty Registrar",3489.28,10.2695049805329,20,0.299999999999997,-9.73049501946706,26858.5762037845,3862.62179363351
"269",2019-09-30,"Specialty Registrar",4040.71,27.695997876321,20.1,0.100000000000009,7.59599787632096,26578.8311850866,3866.48441542715
"270",2019-10-31,"Specialty Registrar",3737.42,18.1113161753552,20,-0.100000000000009,-1.88868382464479,26648.387535739,3862.61793101172
"271",2019-11-30,"Specialty Registrar",3735.78,18.0594882944835,20.2,0.200000000000003,-2.14051170551651,26727.2181906223,3870.34316687374
"272",2019-12-31,"Specialty Registrar",3733.41,17.9845906861506,20.2,0,-2.21540931384943,26808.8071707691,3870.34316687374
"273",2020-01-31,"Specialty Registrar",3735.23,18.0421069929716,20,-0.200000000000003,-1.95789300702837,26880.9123536269,3862.60248054
"274",2020-02-29,"Specialty Registrar",3690.49,16.628217120898,20.3,0.299999999999997,-3.671782879102,27016.1365844513,3874.19028798162
